Case_ID;57b428a6cef25a0a0d6681ac;;;;;;;;;;;;;;;;;;;;;;;;;;
Variant_ID;57b43118cef25a0a0d6681b1;;;;;;;;;;;;;;;;;;;;;;;;;;
Type;Buildings;;;;;;;;;;;;;;;;;;;;;;;;;;
building_ID;street_name;zip_code;footprint_area;building_type;amount_of_units;function;building_year;average_height(m);levels;building_style;roof_material;window_overall_ratio;EPCscore;heating_system;glazing_type;ventilation_type;wall_U;window_U;roof_U;occupants;heated_floor_area(m2);rent_per_month(euro);cost_electricity(euro/year);cost_district_heating(euro/year);cost_natural_gas(euro/year);cost_other_fuel(euro/year);operating_and_maintenance_costs(euro/year)
6C;Alofs De Laetstraat;2020;88,63;SFH semi-detached;1;residential;1950;6,24;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
6J;Alofs De Laetstraat;2020;88,08;SFH semi-detached;1;residential;1950;6,64;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
7A;Scheibeekstraat;2020;82,10;SFH semi-detached;1;residential;1957;7,47;2;brick;;0,00;378;;double;;;0;;;110,00;;;;;;
7AF;Karel Mirystraat;2020;98,18;SFH semi-detached;1;residential;1957;7,62;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
7AG;Scheibeekstraat;2020;116,15;SFH semi-detached;1;residential;1957;7,46;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
7AO;Karel Mirystraat;2020;124,63;SFH semi-detached;1;residential;1957;7,37;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
7B;Scheibeekstraat;2020;83,31;SFH semi-detached;1;residential;1957;7,54;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
7BC;Scheibeekstraat;2020;89,23;SFH semi-detached;1;residential;1957;7,43;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
7R;Maurits Sabbelaan;2020;98,06;SFH semi-detached;1;residential;1957;7,47;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
8C;Schijfstraat;2020;76,06;SFH semi-detached;1;residential;1951;6,74;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
8I;Maurits Sabbelaan;2020;104,46;SFH semi-detached;1;residential;1950;6,89;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
11AB;Rik Woutersstraat;2020;57,63;SFH semi-detached;1;residential;1950;7,23;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
11AD;Jules De Bruyckerstraat;2020;69,34;SFH semi-detached;1;residential;1950;6,79;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
11AM;Rik Woutersstraat;2020;73,93;SFH semi-detached;1;residential;1950;6,95;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
11AQ;Rik Woutersstraat;2020;54,19;SFH semi-detached;1;residential;1950;6,92;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
11AY;Piet Verhaertstraat;2020;83,41;SFH semi-detached;1;residential;1950;6,73;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
11BA;Piet Verhaertstraat;2020;113,09;SFH semi-detached;1;residential;1950;6,99;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
11BC;Rik Woutersstraat;2020;91,65;SFH semi-detached;1;residential;1950;7,09;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
11BF;Rik Schaefelsstraat;2020;101,04;SFH semi-detached;1;residential;1950;6,74;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
11D;Jules De Bruyckerstraat;2020;120,54;SFH semi-detached;1;residential;1950;7,03;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
11F;Rik Schaefelsstraat;2020;41,94;SFH semi-detached;1;residential;1950;6,64;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
11K;Jules De Bruyckerstraat;2020;61,23;SFH semi-detached;1;residential;1950;7,51;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
11L;Jules De Bruyckerstraat;2020;57,35;SFH semi-detached;1;residential;1950;6,97;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
12B;Piet Verhaertstraat;2020;82,70;SFH semi-detached;1;residential;1954;6,76;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
12G;Piet Verhaertstraat;2020;61,13;SFH semi-detached;1;residential;1954;6,88;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
13K;Zaanstraat;2020;56,22;SFH semi-detached;1;residential;1955;9,67;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
13U;Eugeen Laermansstraat;2020;175,15;SFH semi-detached;1;mixed (residential, commercial);1955;6,75;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
13V;Eugeen Laermansstraat;2020;67,64;SFH semi-detached;1;residential;1955;6,88;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
13F;Zaanstraat;2020;89,63;SFH semi-detached;1;residential;1955;13,69;4;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
16AT;Rik Schaefelsstraat;2020;60,50;SFH semi-detached;1;residential;1962;6,87;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
16AU;Rik Schaefelsstraat;2020;60,95;SFH semi-detached;1;residential;1962;6,85;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
16AV;Rik Schaefelsstraat;2020;60,90;SFH semi-detached;1;residential;1962;6,84;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
16BG;Rik Schaefelsstraat;2020;91,37;SFH semi-detached;1;residential;1962;6,84;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
16BM;Rik Schaefelsstraat;2020;60,32;SFH semi-detached;1;residential;1962;6,86;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
16P;Rik Schaefelsstraat;2020;60,68;SFH semi-detached;1;residential;1962;6,86;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
16AW;Valerius De Saedeleerstraat;2020;60,43;SFH semi-detached;1;residential;1962;6,73;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
16AX;Valerius De Saedeleerstraat;2020;60,59;SFH semi-detached;1;residential;1962;6,65;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
16AY;Valerius De Saedeleerstraat;2020;69,67;SFH semi-detached;1;residential;1962;6,60;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
16BJ;Valerius De Saedeleerstraat;2020;60,89;SFH semi-detached;1;residential;1962;6,66;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
16BQ;Valerius De Saedeleerstraat;2020;60,84;SFH semi-detached;1;residential;1962;6,65;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
16BS;Valerius De Saedeleerstraat;2020;60,64;SFH semi-detached;1;residential;1962;6,68;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
17F;Tirstraat;2020;90,63;SFH semi-detached;1;residential;2008;12,36;3;brick;;0,00;;gas;double;C+;0,4;2;0,3;;;;;;;;
18AX;Frans Hensstraat;2020;65,48;SFH semi-detached;1;residential;1950;6,87;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
18AF;Schijfstraat;2020;63,01;SFH semi-detached;1;residential;1955;12,23;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
18F;Sus Van den Eyndestraat;2020;66,72;SFH semi-detached;1;residential;2009;9,62;2;brick;;0,00;;gas;double;;;0;;;;;;;;;
20L;Van Peenestraat;2020;88,12;SFH semi-detached;1;residential;1960;10,01;3;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
1K;Lodewijk De Raetstraat;2020;234,97;SFH terraced;1;residential;1957;7,59;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
1O;Lodewijk De Raetstraat;2020;63,96;SFH terraced;1;residential;1957;7,47;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
1B;Emiel Vloorsstraat;2020;64,11;SFH terraced;1;residential;1957;7,51;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
1C;Emiel Vloorsstraat;2020;62,90;SFH terraced;1;residential;1957;7,47;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
1D;Emiel Vloorsstraat;2020;65,07;SFH terraced;1;residential;1957;7,50;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
1E;Emiel Vloorsstraat;2020;80,81;SFH terraced;1;residential;1957;7,53;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
1F;Emiel Vloorsstraat;2020;89,66;SFH terraced;1;residential;1957;7,50;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
